video_id,title,description,published_date,duration,view_count,like_count,comment_count,video_url,channel_name,channel_id,duration_seconds,days_since_published,engagement_rate,views_per_day,likes_per_view
k9BDJewClqk,Elective 1-Semester Filmmaking Workshop in association with Red Bull Media House at NYFA Florence,"Looking for an exciting and unique filmmaking program?

This special Elective 1-Semester Filmmaking Workshop in association with Red Bull Media House is offered exclusively at NYFA’s Florence, Italy Campus.

🎥 What to Expect:
Exploration of multiple facets of filmmaking and creation of your own short movies.

Directing, Screenwriting, Editing, Cinematography & Elective Classes (Documentaries, Series, Live Events and Social Media).

Immersion in a unique, cross-cultural experience in Florence, Italy.

At the end of the workshop, students can invite family and friends to an exclusive screening of your work.

Graduates of the Elective 1-Semester Workshop can enroll in NYFA’s 1-Year Filmmaking Program to continue their film studies in the US.

Students attending other colleges and universities may be able to transfer credit earned based on their home institution's policies.*

Learn more today! https://bit.ly/3Co6Tab",2024-12-11 20:15:03+00:00,PT31S,1085,15,5,https://www.youtube.com/watch?v=k9BDJewClqk,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,31,367,1.84,2.96,1.38
VvBd3yg3irE,NYFA Los Angeles Workshop at Sony Digital Media Production Center,"Our NYFA Los Angeles students had a blast at their hands-on virtual production workshop at the Sony Digital Media Production Center! 

They had the opportunity to learn about Sony's equipment, including their LED wall. #nyfa #nyfalosangeles #virtualproduction #sony",2024-11-12 20:00:47+00:00,PT58S,1269,50,0,https://www.youtube.com/watch?v=VvBd3yg3irE,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,58,396,3.94,3.2,3.94
JeCPTaugSjw,Kent State University and International Fashion Academy Paris Annual Fashion Show,Fashion institutions International Fashion Academy Paris (IFA Paris) and the School of Fashion at Kent State University (KSU) held their annual fashion show in New York City with NYFA photography students capturing the night.,2024-11-06 21:49:58+00:00,PT2M35S,270,6,0,https://www.youtube.com/watch?v=JeCPTaugSjw,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,155,402,2.22,0.67,2.22
uhRjr64-nQE,3 Tips for Short Filmmakers,"Here are 3 tips for short filmmakers with NYFA’s Senior Director of Film Festivals, Crickett Rumley! ✨🎥

What tips would you give to upcoming filmmakers?

If you are interested in joining NYFA, request more information today through the link in our bio!",2024-10-24 19:52:03+00:00,PT53S,675,39,0,https://www.youtube.com/watch?v=uhRjr64-nQE,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,53,415,5.78,1.63,5.78
jHtJJZihfns,Exclusive Preview Screening of The Martini Shot with Guest Star Matthew Modine!,"Thank you all for joining us in Florence, Italy, for the exclusive preview screening of The Martini Shot, winner of the 43rd International Film Festival Award, directed and written by Stephen Wallis!🎥 🎬

We hope you enjoyed the special Q&A session between guest star and acclaimed actor Matthew Modine (Oppenheimer, Stranger Things, Operation Varsity Blue, Sicario: Day of the Soldado, The Dark Knight Rises, Equinox, Full Metal Jacket, and Birdy), and journalist Silvia Bizio.🌟",2024-10-09 17:47:13+00:00,PT50S,394,9,0,https://www.youtube.com/watch?v=jHtJJZihfns,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,50,430,2.28,0.92,2.28
bhonGUMzuBs,Advice for Storytellers - Photography Tips With NYFA Alumni Apeksha Agarwal and Rutvik Katuri,1-Year Photography New York alumni Apeksha Agarwal and Rutvik Katuri share their tips for finding creativity in Photography.,2024-10-04 22:20:32+00:00,PT24S,1169,37,0,https://www.youtube.com/watch?v=bhonGUMzuBs,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,24,435,3.17,2.69,3.17
CAFSqlYHPuk,Getting Started - Photography Tips With Alumni Apeksha Agarwal and Rutvik Katuri,1-Year Photography New York alumni Apeksha Agarwal and Rutvik Katuri share their tips for how to get started in Photography.,2024-10-04 21:55:53+00:00,PT33S,186,5,0,https://www.youtube.com/watch?v=CAFSqlYHPuk,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,33,435,2.69,0.43,2.69
iYlDQRmTMF8,"NYFA Cinematography Alumna, Ilaria Serantoni, Talks About the Perfect Approach",,2024-07-31 20:35:51+00:00,PT1M,1005,30,0,https://www.youtube.com/watch?v=iYlDQRmTMF8,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,60,500,2.99,2.01,2.99
KOkYgEIORTA,"NYFA Cinematography Alumna, Ilaria Serantoni, Shares Tips for Film Festivals",,2024-07-31 18:49:14+00:00,PT52S,376,12,0,https://www.youtube.com/watch?v=KOkYgEIORTA,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,52,500,3.19,0.75,3.19
8LQHHLwZ4Sw,"NYFA Cinematography Alumna, Ilaria Serantoni, Shares Her Industry Experience","When asked, ""What skills did you learn working on real-world projects?"" Ilaria shares key skills that are important to working in the cinematography industry.",2024-07-30 21:53:57+00:00,PT55S,454,15,0,https://www.youtube.com/watch?v=8LQHHLwZ4Sw,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,55,501,3.3,0.91,3.3
ly1cbU_3Plw,WE ARE NYFA - NEW YORK FILM ACADEMY,"Over the last few decades, the New York Film Academy has become one of the most prominent institutions for visual and performing arts education. Known as ""The Original Hands-on Film, Media, and Performing Arts School,"" NYFA was founded on the philosophy that “learning by doing” combined with best industry practices is more valuable than years of theoretical study for film, media, and performing arts students. 

NYFA offers hands-on intensive undergraduate and graduate degree programs, certificates, and workshops across a multitude of areas of study in New York City, Los Angeles, South Beach/Miami, Gold Coast (Australia), Florence (Italy), and more. Its programs are accelerated and NYFA students can complete a four-year BFA degree in three years. 

WE ARE NYFA. https://www.nyfa.edu/",2024-06-03 22:42:07+00:00,PT4M59S,6411,103,11,https://www.youtube.com/watch?v=ly1cbU_3Plw,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,299,558,1.78,11.49,1.61
OZAMqEVYGN8,"Study at NYFA in Florence, Italy and Learn Filmmaking or Acting for Film","At NYFA Florence, students deepen their understanding and connection to the city's rich history of fine arts and Italian culture through the creative process of filmmaking and acting for film. Florence, Italy is an ideal backdrop for inspiration, innovation, and immersion.

Students can pursue semester long programs, in-person workshops, youth summer camps, and Study Abroad programs (both short-term and semester-long).
Study at NYFA in Florence, Italy - the Birthplace of the Renaissance!

Learn more at: 
https://www.nyfa.edu/location/nyfa-florence/",2024-06-03 22:07:39+00:00,PT34S,1240,24,0,https://www.youtube.com/watch?v=OZAMqEVYGN8,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,34,558,1.94,2.22,1.94
HBhwrb1r2wI,NYFA Australia Guest Speaker Series: Simon McQuoid,"Watch our exclusive Q&A session with Simon McQuoid, director of Blockbuster movies, Mortal Kombat 1 & 2, as he shares insights and experiences with New York Film Academy Australia film & acting students! Learn about his journey, filmmaking techniques, and behind-the-scenes stories from the making of these iconic movies.",2024-05-24 02:51:15+00:00,PT1H5M47S,562,11,0,https://www.youtube.com/watch?v=HBhwrb1r2wI,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,3947,568,1.96,0.99,1.96
ltMCYCdyqew,Inside Film Festivals: Q&A with Wyoming International Festival Director Rudi Womack,"Rudi Womack is an editor, producer, and director from Cheyenne, Wyoming. He’s worked for Marvel, Disney, Lionsgate, DreamWorks, and currently serves as the Executive Director of the Wyoming International Film Festival. 

This February, Rudi joined Crickett Rumley, Senior Director of NYFA’s Film Festival Department, for a Deep Dive into how films are judged, how to avoid the common mistakes new filmmakers make, and the heavy lifting required once your film becomes an official selection. 

#NYFA #GuestSpeakerSeries #RudiWomack #CrickettRumley #FilmFestivals
Follow NEW YORK FILM ACADEMY
· Instagram - https://bit.ly/NYFA_Instagram
· TikTok - https://bit.ly/NYFA_TikTok
· Facebook - https://bit.ly/NYFA_Facebook
· Twitter - https://bit.ly/NYFA_Twitter
· LinkedIn - https://bit.ly/NYFA_LinkedIN
 
https://www.nyfa.edu",2024-05-17 15:54:44+00:00,PT1H28M12S,357,4,2,https://www.youtube.com/watch?v=ltMCYCdyqew,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,5292,575,1.68,0.62,1.12
cT7JwN8nqeU,Animated Film Showcase & Q&A w/ Craig Kausen,"Craig Kausen, grandson of the legendary animation filmmaker, Chuck Jones, spoke in a special guest speaker event for NYFA students and faculty. Kausen discussed the work and career of Chuck Jones, whose name is synonymous with characters from Looney Tunes, Tom and Jerry, and Merrie Melodies. Event was moderated by Paul Laverack. 

#NYFA #GuestSpeakerSeries #CraigKausen #ChuckJones
Follow NEW YORK FILM ACADEMY
· Instagram - https://bit.ly/NYFA_Instagram
· TikTok - https://bit.ly/NYFA_TikTok
· Facebook - https://bit.ly/NYFA_Facebook
· Twitter - https://bit.ly/NYFA_Twitter
· LinkedIn - https://bit.ly/NYFA_LinkedIN
 
https://www.nyfa.edu",2024-05-13 16:01:54+00:00,PT59M20S,142,1,1,https://www.youtube.com/watch?v=cT7JwN8nqeU,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,3560,579,1.41,0.25,0.7
1-tN-mZ51ro,NYFA FAFSA Instructional Video,Overview of how to fill out the Free Application for Federal Student Aide or FASA form.,2024-05-10 19:34:04+00:00,PT2M56S,758,10,2,https://www.youtube.com/watch?v=1-tN-mZ51ro,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,176,582,1.58,1.3,1.32
6Vw8qgh7acI,"Study at NYFA in Florence, Italy - the Birthplace of the Renaissance","At NYFA Florence, students deepen their understanding and connection to the city's rich history of fine arts and Italian culture through the creative process of filmmaking and acting for film. Florence, Italy is an ideal backdrop for inspiration, innovation, and immersion.

Students can pursue semester long programs, in-person workshops, youth summer camps, and Study Abroad programs (both short-term and semester-long).

Learn more at: 
https://www.nyfa.edu/location/nyfa-florence/",2024-04-17 16:00:12+00:00,PT33S,482,11,1,https://www.youtube.com/watch?v=6Vw8qgh7acI,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,33,605,2.49,0.8,2.28
ehx0X9ph8fU,Explore NYFA Miami in the Heart of South Beach,"Come explore the NYFA Miami campus on Lincoln Road in the heart of South Beach. NYFA Miami’s campus was designed as a creative hub to encourage collaboration and the sharing of ideas. Offering a variety of programs in Filmmaking and Acting for Film, students gain hands-on experience alongside industry professionals on the state-of-the-art campus, all while immersing themselves in the diversity and vibrancy of South Beach, Miami.",2024-04-17 14:18:19+00:00,PT4M3S,1321,33,1,https://www.youtube.com/watch?v=ehx0X9ph8fU,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,243,605,2.57,2.18,2.5
ZbC09s1oxKA,NYFA Australia Study Abroad Student Spotlight on Martin Nikolov,"The New York Film Academy Australia is located on the Gold Coast. The project-based curriculum at our film and acting schools are designed to reflect a real-world environment while encouraging students to explore their own creativity and passion.

Check out this spotlight on NYFA Australia Study Abroad student Martin Nikolov to hear about his experience learning acting for film during his semester abroad in Gold Coast.

Learn more about our Australia campus on our website: https://www.nyfa.edu.au",2024-02-29 01:03:56+00:00,PT3M13S,477,10,0,https://www.youtube.com/watch?v=ZbC09s1oxKA,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,193,653,2.1,0.73,2.1
Ao5ZnnB3GjQ,NYFA Photo Guest Speaker Series:  Paul Sunday,"New York Film Academy  welcomed Paul Sunday for a special guest lecture and Q&A  as part of NYFA’s Photography Guest Speaker Series. NYFA Senior Faculty Member Nancy Burson, curated and moderated the event.

Paul Sunday is an internationally published photographer, multi-disciplinary artist, and educator.

Sunday was rigorously trained as an actor. He entered photography in the early 90s as a photo assistant and headshot photographer. He rapidly advanced to celebrity portraiture and high-end fashion, shooting commissioned work for luxury brands like Bergdorf Goodman and Theory and publications including Interview, Flaunt, W magazine, and Paper. 

Simultaneously, he pursued an art practice, exhibiting abstract photography and reductive paintings in galleries and alternative spaces around New York.
He had institutional exhibitions at the New York Public Library and Pratt Manhattan. More recently, he earned a mid-career MFA and began making sculptures and installations where photography hovers on the edges. 

Sunday is currently making collages and paintings and teaching in upstate New York.",2024-02-19 21:58:33+00:00,PT59M20S,169,9,0,https://www.youtube.com/watch?v=Ao5ZnnB3GjQ,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,3560,663,5.33,0.25,5.33
Zc9Z17DBCIU,Ronen Rubinstein's Inspiring Graduation Speech at NYFA's 2023 Commencement Ceremony,"Guest speaker, actor, and NYFA Alum Ronen Rubinstein recently took the stage during the Fall 2023 NYFA Los Angeles Commencement Ceremony to inspire us all and pay tribute to the gifted storytellers who achieved their college degrees this past year. 

From his transformative year at NYFA in 2012 to shining in Ryan Murphy's ""9-1-1 Lone Star,"" Ronen shared his incredible journey with us before receiving an Honorary Degree of Master of Fine Arts in Acting for Film. 🎭✨ 🌈 To the Class of 2023, he sent his best wishes, foreseeing their brilliance on the big screen, TV & stage.

Watch this video and prepare to be inspired! 🎓✨

 #NYFAAlum #CommencementSpeech #RonenRubinstein #Commencement 

Follow NEW YORK FILM ACADEMY · 
Instagram - https://bit.ly/NYFA_Instagram · 
TikTok - https://bit.ly/NYFA_TikTok · 
Facebook - https://bit.ly/NYFA_Facebook · 
Twitter - https://bit.ly/NYFA_Twitter 
 LinkedIn - https://bit.ly/NYFA_LinkedIN https://www.nyfa.edu",2024-01-25 22:49:22+00:00,PT9M15S,1931,80,4,https://www.youtube.com/watch?v=Zc9Z17DBCIU,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,555,688,4.35,2.81,4.14
D8QLzliOuAQ,How two NYFA Alums crafted the Film Festival Run of Their Dreams,"New York Film Academy (NYFA) welcomed back NY Film Academy Alums Lucía Flórez and Chémi Pérez as part of our Guest Speaker series moderated by Senior Director of NYFA’s Film Festival Department, Crickett Rumley.

Getting into the Sundance Film Festival is every emerging filmmaker’s dream, yet each year less than one percent of submitted shorts get selected.  This past August, Crickett Rumley sat down for a conversation with Lucía Flórez and Chémi Pérez, who beat the odds when their documentary “Shirampari: Legacies of the River” became an official selection of Sundance’s 2023 edition. In this Q&A, they discussed how they developed a festival strategy unique to them and their film, what they learned in the early months of their submission process and festival run, and how they prepared for -- and made the most of -- their Sundance experience.

 #NYFAAlums #Sundance #Shirampari #LegaciesOfTheRiver

Follow NEW YORK FILM ACADEMY · 
Instagram - https://bit.ly/NYFA_Instagram · 
TikTok - https://bit.ly/NYFA_TikTok · 
Facebook - https://bit.ly/NYFA_Facebook · 
Twitter - https://bit.ly/NYFA_Twitter 
 LinkedIn - https://bit.ly/NYFA_LinkedIN https://www.nyfa.edu",2024-01-16 21:08:35+00:00,PT1H20M23S,793,18,2,https://www.youtube.com/watch?v=D8QLzliOuAQ,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,4823,697,2.52,1.14,2.27
YQ6ps4aZiUE,Study Abroad I NYFA Australia,"Explore the alluring world that NYFA Australia Study Abroad students experienced on the Gold Coast Campus! 

American University Filmmakers Lillian Welwood, Sania Parker, and Alex Crocker share what drew them to study a semester abroad at NYFA Australia. They share glimpses of their new hands-on camera experiences starting in the first week of study and take you through their enriching and transformative journey in Queensland, Australia. Watch this video to hear them speak about collaborating with actors and filmmakers, including how much they've learned from NYFA Australia's present-day industry professional faculty who've worked on many Hollywood blockbuster films.

#NYFAAustralia #StudyAbroad #Filmmaking 

Follow NEW YORK FILM ACADEMY AUSTRALIA 
· Instagram - www.instagram.com/nyfaaustralia/ 
· TikTok - www.tiktok.com/@nyfaaustralia 
· Facebook - www.facebook.com/NYFAAustralia 
· X - twitter.com/NYFAAustralia 
· LinkedIn - https://bit.ly/NYFA_LinkedIN

https://www.nyfa.edu.au 

Subscribe: https://bit.ly/3cMf6Zf",2024-01-12 14:34:55+00:00,PT3M7S,1514,53,5,https://www.youtube.com/watch?v=YQ6ps4aZiUE,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,187,701,3.83,2.16,3.5
1K3C4BAdVho,Apartment 30 - Episode 06: Bytes of Humanity,"A friendly trio of AI gathers in Apartment 30, as they seek to unravel the enigma of human emotions.

𝓐𝓹𝓪𝓻𝓽𝓶𝓮𝓷𝓽 𝟑𝟎 is a six-episode anthology web series centered around an Airbnb with an enchanted guest book that grants wishes to those who stay - whether those wishes be for good or ill. This series was put together by New York Film Academy's talented alums from the Filmmaking, Screenwriting, Acting, Producing, Cinematography, and Photography departments. 

#NYFAAlums #NewYorkFilmAcademy #NYFA #Apartment30

Follow NEW YORK FILM ACADEMY
· Instagram - https://bit.ly/NYFA_Instagram
· TikTok - https://bit.ly/NYFA_TikTok
· Facebook - https://bit.ly/NYFA_Facebook
· Twitter - https://bit.ly/NYFA_Twitter
· LinkedIn - https://bit.ly/NYFA_LinkedIN
 
https://www.nyfa.edu

🔴 Subscribe to NYFA's Youtube Channel: https://bit.ly/3cMf6Zf",2023-12-23 17:52:44+00:00,PT12M9S,546,12,0,https://www.youtube.com/watch?v=1K3C4BAdVho,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,729,721,2.2,0.76,2.2
